Search_term,gse,title,summary,overall_design,gpl,sample_number,type,pubmed_id
Alzheimers Disease,GSE31163,Human induced pluripotent stem cells derived from a sporadic Alzheimer's disease patient,"Induced pluripotent stem cell (iPSC) disease models have been generated for a number of diseases, and some have shown their potential utilization for pathological and drug toxicological evaluations. We have generated two hiPSC clones from a non-familial Alzheimer’s patient (AD-iPSCs), which expressed typical undifferentiated markers and fulfilled standard pluripotency assays. Genome-wide microarray analysis revealed that AD-iPSCs are highly similar to control hiPSCs and hESCs, albeit with some noticeable differences in several genes: DNAJC15, GRPR, NAIP and SNORD116-18. Several other biomarkers were differentially expressed in AD-iPSC clones, which were implicated in memory impairment and AD. Furthermore, well characterized familial AD-associated genes (APP, PSEN1, PSEN2) and non-familial (A2M, APOE, GAP43, MAOA, MPO, PLAT, PLAU, SORL1, SNCA) exhibited different expression patterns but were largely reset upon reprogramming into a pluripotent state. Overall, hiPSCs can be good candidates for AD modeling and may represent an in vitro alternative to studying disease mechanisms and drug discovery/toxicology studies.","Fibroblasts and two hiPSC clones from a non-familial Alzheimer’s patient (AD-iPSCs) were analyzed. For each cell sample, 2-3 biological replicates were obtained.",GPL6244,8,Expression profiling by array,NA
Alzheimers Disease,GSE76105,Genome-wide DNA methylation profiling in the superior temporal gyrus reveals epigenetic signatures associated with Alzheimer's disease,"Recent work has identified roles for environmental, genetic and epigenetic factors in AD risk. Motivated by suspected roles for epigenetic modifications in AD, we performed a genome-wide screen of DNA methylation using the Illumina Infinium HumanMethylation450 array platform on bulk tissue samples from the superior temporal gyrus (STG) of AD cases and non-demented controls. We paired a sliding window approach with linear models that account for age, gender, ethnicity, and estimated cellular proportions (neuronal vs. glial), to characterize AD-associated differentially methylated regions (DMRs).",Whole DNA was extracted from STG tissue dissections collected from deceased individuals with and without Alzheimers Disease. DNA was bisulfite converted and global DNA methylation levels were assessed using Illumina Infinium HumanMethylation450 BeadChip.,GPL13534,68,Methylation profiling by genome tiling array,NA
Alzheimers Disease,GSE62240,A novel approach to Alzheimer’s Disease treatment: HDACs & PDE5 inhibition,"Considering the numerous complex and different pathological mechanisms involved in Alzheimer´s disease (AD) progression, treatments targeting a single cause may lead to limited benefits. The goal of this study was the identification of a novel mode of action for this unmet need. Pharmacological tool compounds: suberoylanilide hydroxamic acid (SAHA) and tadalafil, targeting histone deacetylases (HDAC) and phosphodiesterase 5 (PDE5) respectively, were utilized simultaneously for in-vitro and in-vivo Proof-of-Concept (PoC). A synergistic effect was observed in the amelioration of AD signs using the combination therapy in Tg2576 mice. Finally, a therapeutic agent, CM-414, inhibiting simultaneously HDAC2/6 and PDE5 was generated and tested in Tg2576 mice. CM-414 reversed cognitive impairment, reduced amyloid and tau pathology, and rescued dendritic spine density loss in the hippocampus in AD mice. Importantly, the effect obtained was present after a 4-weeks wash-out period.",Comparisson of global gene expression profiling in mice hippocampi between diferent treatments,GPL16570,24,Expression profiling by array,26457123
Alzheimers Disease,GSE75047,Enhanced Phospholipase A2 group 3 expression by oxidative stress decreases the insulin-degrading enzyme,"Oxidative stress has a ubiquitous role in neurodegenerative diseases and oxidative damage in  specific regions of the brain is associated with selective neurodegeneration. We previously reported that Alzheimer disease (AD) model mice showed decreased insulin-degrading enzyme (IDE) levels in the cerebrum and accelerated phenotypic features of AD when crossbred with alpha-tocopherol transfer protein knockout (Ttpa-/-) mice. To further investigate the role of chronic oxidative stress in AD pathophysiology, we performed DNA microarray analysis using young and aged wild-type mice and aged Ttpa-/- mice. Among the genes whose expression changed dramatically was Phospholipase A2 group 3 (Pla2g3); Pla2g3 was identified because of its expression profile of cerebral specific up-regulation by chronic oxidative stress in silico and in aged Ttpa-/- mice. Immunohistochemical studies also demonstrated that human astrocytic Pla2g3 expression was significantly increased in human AD brains compared with control brains. Moreover, transfection of HEK293 cells with human Pla2g3 decreased endogenous IDE expression in a dose-dependent manner. Our findings show a key role of Pla2g3 on the reduction of IDE, and suggest that cerebrum specific increase of Pla2g3 is involved in the initiation and/or progression of AD.","Gene expression in cerebral cortex and cerebellum of mice were determined using Agilent chips. To ensure higher quality results in gene expression data, we conducted microarrays on 4 mice per group. Young mice were 2 months old and the other aged mice were 29 months old at the time of use. Data were standardized using global normalization and pro-cessed by R-program. An absolute fold change threshold of greater than 1.5 was required to be considered for further analyses. Expression values were in log2 scale.",GPL10787,40,Expression profiling by array,NA
Alzheimers Disease,GSE74615,Acutely isolated murine cortical astrocytes and microglia: Alzheimer's disease vs wildtype,"Isolation of glia from Alzheimer's mice reveals inflammation and dysfunction.;Reactive astrocytes and microglia are associated with amyloid plaques in Alzheimer's disease (AD). Yet, not much is known about the molecular alterations underlying this reactive phenotype. To get an insight into the molecular changes underlying AD induced astrocyte and microglia reactivity, we performed a transcriptional analysis on acutely isolated astrocytes and microglia from the cortex of aged controls and APPswe/PS1dE9 AD mice. As expected, both cell types acquired a proinflammatory phenotype, which confirms the validity of our approach. Interestingly, we observed that the immune alteration in astrocytes was relatively more pronounced than in microglia. Concurrently, our data reveal that astrocytes display a reduced expression of neuronal support genes and genes involved in neuronal communication. The microglia showed a reduced expression of phagocytosis and/or endocytosis genes. Co-expression analysis of a human AD expression data set and the astrocyte and microglia data sets revealed that the inflammatory changes in astrocytes were remarkably comparable in mouse and human AD, whereas the microglia changes showed less similarity. Based on these findings we argue that chronically proinflammatory astrocyte and microglia phenotypes, showing a reduction of genes involved in neuronal support and neuronal signaling, are likely to contribute to the neuronal dysfunction and cognitive decline in AD.","2 cell types from 2 conditions: cortical microglia and cortical astrocytes from 15-18 month old APPswe/PS1dE9 mice compared to wildtype littermates. Biological replicates: microglia from APPswe/PS1dE9, N=7, microglia from WT, N=7, astrocytes from APPswe/PS1dE9, N=4, microglia from WT, N=4",GPL10333,22,Expression profiling by array,25002035
Alzheimers Disease,GSE74614,Acutely isolated murine cortical astrocytes and microglia: Alzheimer's disease vs wildtype- effect of gfap-/- and vim-/-,"GFAP and vimentin deficiency alters gene expression in astrocytes and microglia in wild-type mice and changes the transcriptional response of reactive glia in mouse model for Alzheimer's disease.;Reactive astrocytes with an increased expression of intermediate filament (IF) proteins Glial Fibrillary Acidic Protein (GFAP) and Vimentin (VIM) surround amyloid plaques in Alzheimer's disease (AD). The functional consequences of this upregulation are unclear. To identify molecular pathways coupled to IF regulation in reactive astrocytes, and to study the interaction with microglia, we examined WT and APPswe/PS1dE9 (AD) mice lacking either GFAP, or both VIM and GFAP, and determined the transcriptome of cortical astrocytes and microglia from 15- to 18-month-old mice. Genes involved in lysosomal degradation (including several cathepsins) and in inflammatory response (including Cxcl5, Tlr6, Tnf, Il1b) exhibited a higher AD-induced increase when GFAP, or VIM and GFAP, were absent. The expression of Aqp4 and Gja1 displayed the same pattern. The downregulation of neuronal support genes in astrocytes from AD mice was absent in GFAP/VIM null mice. In contrast, the absence of IFs did not affect the transcriptional alterations induced by AD in microglia, nor was the cortical plaque load altered. Visualizing astrocyte morphology in GFAP-eGFP mice showed no clear structural differences in GFAP/VIM null mice, but did show diminished interaction of astrocyte processes with plaques. Microglial proliferation increased similarly in all AD groups. In conclusion, absence of GFAP, or both GFAP and VIM, alters AD-induced changes in gene expression profile of astrocytes, showing a compensation of the decrease of neuronal support genes and a trend for a slightly higher inflammatory expression profile. However, this has no consequences for the development of plaque load, microglial proliferation, or microglial activation.","2 cell types from 6 conditions: cortical microglia and cortical astrocytes from 15-18 month old APPswe/PS1dE9 mice compared to wildtype littermates. Biological replicates: microglia from APPswe/PS1dE9, N=7, microglia from WT, N=7, astrocytes from APPswe/PS1dE9, N=4, microglia from WT, N=4",GPL10333,48,Expression profiling by array,25731615
Alzheimers Disease,GSE74519,Trans-effects of chromosome aneuploidies on DNA methylation patterns in human Down syndrome and mouse models,This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,"GPL13112, GPL13534",134,Methylation profiling by array;Methylation profiling by high throughput sequencing,NA
Alzheimers Disease,GSE74486,Trans-effects of chromosome aneuploidies on DNA methylation patterns:  DNA methylation analysis of Down syndrome in human brain tissues and cells,"Background: Trisomy 21 causes Down syndrome (DS), but the mechanisms by which the extra chromosome leads to deficient intellectual and immune function are not well understood.  Results: Here, we profile CpG methylation in DS and control cerebral and cerebellar cortex of adults and cerebrum of fetuses. We purify neuronal and non-neuronal nuclei and T-lymphocytes and find biologically relevant genes with DS-specific methylation (DS-DM) in brain cells. Some genes show brain-specific DS-DM, while others show stronger DS-DM in T cells. Both 5-methyl-cytosine and 5-hydroxy-methyl-cytosine contribute to the DS-DM. Thirty percent of genes with DS-DM in adult brain cells also show DS-DM in fetal brains, indicating early onset of these epigenetic changes, and we find early maturation of methylation patterns in DS brain and lymphocytes. Some, but not all, of the DS-DM genes show differential expression. DS-DM preferentially affected CpGs in or near specific transcription factor binding sites, implicating a mechanism involving altered transcription factor binding. Methyl-seq of brain DNA from mouse models with sub-chromosomal duplications mimicking DS reveals partial but significant overlaps with human DS-DM and shows that multiple chromosome 21 genes contribute to the downstream epigenetic effects.  Conclusions: These data point to novel biological mechanisms in DS and have general implications for trans effects of chromosomal duplications and aneuploidies on epigenetic patterning.","Bisulfite converted DNA from 119 samples from Down syndrome patients and controls  were hybridised to the Illumina Infinium 450k Human Methylation Beadchip. In addition, we re-analyzed 6 Down syndrome and 6 control cerebellum DNA samples on the 450K BeadChips using an adaptation of the Illumina probe preparation protocol (TrueMethyl kit; Cambridge Epigenetics, CEGX), in which parallel analyses of bisulfite and oxidative bisulfite DNA for each sample allows assessment of the relative contributions of 5mC and 5hmC to net methylation.",GPL13534,131,Methylation profiling by array,NA
Alzheimers Disease,GSE62283,Diagnosis of Early-Stage Parkinson's Disease Using Autoantibodies as Blood-based Biomarkers,Human serum samples from early-stage Parkinson's disease and non-diseased controls were probed onto human protein microarrays in order to identify differentially expressed autoantibody biomarkers that could be used as diagnostic indicators.  Other neurodegenerative and non-neurodegenerative diseases were also used to help measure the specificity of the selected biomarkers.,"In the study presented here, 103 Early-stage Parkinson's disease and 156 control human serum samples were probed onto human protein microarrays in order to identify differentially expressed autoantibodies.  Microarray data was analyzed using several statistical significance algorithms, and autoantibodies that demonstrated significant differences in group prevelance were selected as potential biomarkers of disease.  Prediction classification analysis using Invitrogen's Prospector v5.2.1 and Random Forest tested the diagnostic efficacy of the identified biomarkers.  Differentiation of early-stage PD samples from other neurodegenerative and non-neurodegenerative controls (Alzheimer's disease, multiple sclerosis, and breast cancer) assessed the specificity of the selected biomarkers, while comparison with mild-moderate Parkinson's disease samples assessed their utility for use in disease staging.",GPL13669,398,Protein profiling by protein array,26386375
Alzheimers Disease,GSE72538,Amyloid protein-mediated differential DNA methylation status regulates gene expression in Alzheimer’s disease model cell line.,"Genome wide DNA methylation profiling of human neuroglioma cell line (H4) and the Swedish double mutant-harboring H4 cell line (H4-sw). The Illumina Infinium 27k Human DNA methylation Beadchip was used to obtain DNA methylation profiles across approximately 27,000 CpGs in 2 cell lines, H4 and H4-sw.",Bisulphite converted DNA from the H4 and H4-sw cells were hybridised to the Illumina Infinium 27k Human Methylation Beadchip,GPL8490,2,Methylation profiling by array,NA
Alzheimers Disease,GSE63944,small RNA-Seq of the CA1 hippocampal subregion from 3 month and 20 month old animals treated orally with vehicle or SAHA,"Aging and increased amyloid burden are major risk factors for cognitive diseases such as Alzheimer's Disease (AD). An effective therapy does not yet exist. Here we use mouse models for age-associated memory impairment and amyloid deposition to study transcriptome and cell type-specific epigenome plasticity at the systems level in the brain and in peripheral organs. We show that at the level of epigenetic gene-expression aging and amyloid pathology are associated with inflammation and impaired synaptic function in the hippocampal CA1 region. While inflammation is associated with increased gene-expression that is linked to a subset of transcription factors, de-regulation of plasticity genes is mediated via different mechanisms in the amyloid and the aging model. Amyloid pathology impairs histone-acetylation and decreases expression of plasticity genes while aging affects differential splicing that is linked to altered H4K12 acetylation at the intron-exon junction in neurons but not in non-neuronal cells. We furthermore show that oral administration of the clinically approved histone deacetylase inhibitor Vorinostat not only restores spatial memory, but also exhibits an anti-inflammatory action and reinstates epigenetic balance and transcriptional homeostasis at the level of gene expression and exon usage.  This is the first systems-level investigation of transcriptome plasticity in the hippocampal CA1 region in aging and AD models and of the effects of an orally dosed histone deacetylase inhibitor. Our data has important implications for the development of minimally invasive and cost-effective therapeutic strategies against age-associated cognitive decline. In fact, our data strongly suggest to test Vorinostat in patients suffering from AD.",small RNA profile from aged animals (hippocampal CA1 region) treated with oral vehicle or SAHA for 4 weeks,GPL13112,19,Non-coding RNA profiling by high throughput sequencing,NA
Alzheimers Disease,GSE63943,mRNA-Seq of the CA1 hippocampal subregion and liver from 3 month and 20 month old animals treated orally with vehicle or SAHA and mRNA-Seq of CA1 of 10 month old WT or APP/PS1-21 transgenic animals treated orally with vehicle or SAHA,"Aging and increased amyloid burden are major risk factors for cognitive diseases such as Alzheimer's Disease (AD). An effective therapy does not yet exist. Here we use mouse models for age-associated memory impairment and amyloid deposition to study transcriptome and cell type-specific epigenome plasticity at the systems level in the brain and in peripheral organs. We show that at the level of epigenetic gene-expression aging and amyloid pathology are associated with inflammation and impaired synaptic function in the hippocampal CA1 region. While inflammation is associated with increased gene-expression that is linked to a subset of transcription factors, de-regulation of plasticity genes is mediated via different mechanisms in the amyloid and the aging model. Amyloid pathology impairs histone-acetylation and decreases expression of plasticity genes while aging affects differential splicing that is linked to altered H4K12 acetylation at the intron-exon junction in neurons but not in non-neuronal cells. We furthermore show that oral administration of the clinically approved histone deacetylase inhibitor Vorinostat not only restores spatial memory, but also exhibits an anti-inflammatory action and reinstates epigenetic balance and transcriptional homeostasis at the level of gene expression and exon usage.  This is the first systems-level investigation of transcriptome plasticity in the hippocampal CA1 region in aging and AD models and of the effects of an orally dosed histone deacetylase inhibitor. Our data has important implications for the development of minimally invasive and cost-effective therapeutic strategies against age-associated cognitive decline. In fact, our data strongly suggest to test Vorinostat in patients suffering from AD.",mRNA profile from aged (CA1 and liver) and APP/PS1 (CA1) animals treated with oral vehicle or SAHA for 4 weeks,GPL13112,69,Expression profiling by high throughput sequencing,NA
Alzheimers Disease,GSE63942,"Genome-wide analysis of H4K12 acetylation in neuronal and non-neuronal nuclei in young animals treated with vehicle, WT littermates of APP/PS1-21 animals treated with vehicle and aged and APP/PS1-21 animals treated with oral vehicle or SAHA for 4 weeks","Aging and increased amyloid burden are major risk factors for cognitive diseases such as Alzheimer's Disease (AD). An effective therapy does not yet exist. Here we use mouse models for age-associated memory impairment and amyloid deposition to study transcriptome and cell type-specific epigenome plasticity at the systems level in the brain and in peripheral organs. We show that at the level of epigenetic gene-expression aging and amyloid pathology are associated with inflammation and impaired synaptic function in the hippocampal CA1 region. While inflammation is associated with increased gene-expression that is linked to a subset of transcription factors, de-regulation of plasticity genes is mediated via different mechanisms in the amyloid and the aging model. Amyloid pathology impairs histone-acetylation and decreases expression of plasticity genes while aging affects differential splicing that is linked to altered H4K12 acetylation at the intron-exon junction in neurons but not in non-neuronal cells. We furthermore show that oral administration of the clinically approved histone deacetylase inhibitor Vorinostat not only restores spatial memory, but also exhibits an anti-inflammatory action and reinstates epigenetic balance and transcriptional homeostasis at the level of gene expression and exon usage.  This is the first systems-level investigation of transcriptome plasticity in the hippocampal CA1 region in aging and AD models and of the effects of an orally dosed histone deacetylase inhibitor. Our data has important implications for the development of minimally invasive and cost-effective therapeutic strategies against age-associated cognitive decline. In fact, our data strongly suggest to test Vorinostat in patients suffering from AD.",Examination of H4K12 acetylation in neuronal and non-neuronal nuclei of young/old animals and WT/APP/PS1-21 animals. Inputs are also provided.,GPL13112,24,Genome binding/occupancy profiling by high throughput sequencing,NA
Alzheimers Disease,GSE72062,Whole genome microarray gene expression profiling of hippocampal genes from aged rats subjected to chronic unpredictable mild stress,"Psychological, psychosocial and physical stress are major risk factors, which enhance the development of sporadic late-onset Alzheimer`s disease. The chronic unpredictable mild stress model mimics those risk factors and triggers signs of neurodegeneration and neuropathological features of sporadic AD such as tau hyperphosphorylation and enhanced amyloid beta generation. The study investigated the impact of chronic unpredictable mild stress on signs of neurodegeneration by analyzing hippocampal gene expression with whole genome microarray gene expression profiling.","Whole genome microarray gene expression profiling was performed to study the impact of stress on hippocampal gene expression. Aged male rats (15 months of age) were subjected to the chronic unpredictable mild stress (CUMS) battery for four weeks. Thereafter at an age of 16 months, 4 h before the beginning of the dark phase, rats were anesthetized, the hippocampus was dissected out on ice and processed for whole genome microarray gene expression profiling according to the protocol of the manufacturer (Affymetrix). The study used the GeneChip Rat Genome 230 2.0 Array for whole genome gene expression analysis of hippocampal genes from stressed rats relative to age-matched non-stressed controls.Two biological replicates were made of each group, and total hippocampal RNA of three rats was pooled for one gene chip.",GPL1355,4,Expression profiling by array,NA
Alzheimers Disease,GSE63063,"Alzheimer, Mild Cognitive impairment and control samples from AddneuroMed Cohort",This SuperSeries is composed of the SubSeries listed below.,Refer to individual Series,"GPL6947, GPL10558",717,Expression profiling by array,NA
Alzheimers Disease,GSE63061,"Alzheimer, Mild Cognitive impairment and control samples from AddneuroMed Cohort (batch 2)","Alzheimer case-control samples originate from the EU funded AddNeuroMed Cohort, which is a large cross-European AD biomarker study relying on human blood as the source of RNA.","The design is case-control. Cases are either Alzheimer's disease patients, subjects with mild cognitive impairment or age and gender matched controls.",GPL10558,388,Expression profiling by array,NA
Alzheimers Disease,GSE63060,"Alzheimer, MCI and control samples from AddneuroMed Cohort (batch 1)","Alzheimer case-control samples originate from the EU funded AddNeuroMed Cohort, which is a large cross-European AD biomarker study relying on human blood as the source of RNA.","The design is case-control. Cases are either Alzheimer's disease patients, subjects with mild cognitive impairment or age and gender matched controls.",GPL6947,329,Expression profiling by array,NA
Alzheimers Disease,GSE60460,Lateral ventricle SVZ: 3xTg vs WT,"Transcriptional profiling of the microdissected SVZ from 7-month-old mice;Adult neurogenesis is suppressed in the SVZ of 3xTg mice, a model of Alzheimer's disease. To better understand the underlying mechanisms of this suppression, the goals of this experiment were to compare the transcriptional profiles of the SVZ neural stem cell niche in 3xTg-AD mice versus strain controls. We used early middle-aged mice (7-months-old) rather than old mice, in order to identify genetic changes that are not caused secondarily to other degenerative changes occurring in these mice.","Two-condition experiment, 3xTg vs WT SVZ. Biological replicates: 4 for each.",GPL10787,8,Expression profiling by array,NA
Alzheimers Disease,GSE69480,Direct conversion of normal and patient human fibroblasts into neuronal cells,"Neuronal conversion from human fibroblasts can be induced by lineage-specific transcription factors, holding great promise for human neurological disease modeling and regenerative medicine. However, the introduction of ectopic genes limits their therapeutic applications. Here, we report that neuronal cells could be directly induced from human fibroblasts by a chemical cocktail of seven small molecules bypassing neural progenitor stage. These chemical-induced neuronal cells (hciN cells) resembled hES-derived neurons regarding morphology, gene expression profiles, and electrophysiological properties. Our further experiments show that hciN cells were able to develop into mature neurons in vivo in embryonic mouse brain. Moreover, this approach was further applied to induce hciN cells from fibroblasts of familial Alzheimer’s disease patients and the hciN cells showed abnormal Aß production. Together, we established a transgene-free chemical approach to directly induce neuronal cells from human fibroblasts, thus providing alternative strategies for modeling of related neurological diseases and regenerative medicine.;We used microarray to comparethe global gene expression patterns of hES-derived neurons (control neurons), HAFs, pre-hciN cells (VCRFSGY-treated HAFs at day 3 and 7) and hciN cells (induced with VCRFSGY for 14 days)","hciNs RNA samples were selected at different time points, i.e. pre-hciN cells (VCRFSGY-treated HAFs at day 3 and 7) and hciN cells (induced with VCRFSGY for 14 days), to study molecular mechanism and marker gene expression happened at the early stage of chemical induction by compared with hES-neurons (positve control) and HAFs (negtive control).",GPL15207,6,Expression profiling by array,NA
Alzheimers Disease,GSE69952,Calorie restriction suppresses age-dependent hippocampal transcriptional signatures.,"Calorie restriction (CR) enhances longevity and mitigates aging phenotypes in numerous species. Physiological responses to CR are cell-type specific and variable throughout the lifespan; however, the mosaic of molecular changes responsible CR benefits remain unclear, particularly in brain regions susceptible to deterioration throughout aging. Thus, we examined the influence of long-term CR on the CA1 hippocampal region, a key learning and memory brain area that is vulnerable to age-related pathologies, such as Alzheimer’s disease (AD). Through mRNA sequencing and NanoString nCounter analysis, we demonstrate that one year of CR feeding suppresses an age-dependent signature of 882 genes functionally associated with synaptic transmission-related pathways, including calcium signaling, long-term potentiation (LTP), and Creb signaling in wild-type mice. By comparing the influence of CR on hippocampal CA1 region transcriptional profiles at younger- (5 months) and older-adult (15 months) timepoints, we identify conserved upregulation of proteome quality control and calcium buffering genes, including heat shock 70 kDa proteins 1b and 5 (Hspa1b and Hspa5), protein disulfide isomerase family A members 4 and 6 (Pdia4 and Pdia6), and calreticulin (Calr). Expression levels of putative neuroprotective factors, klotho (Kl) and transthyretin (Ttr), are also elevated by CR throughout adulthood, although the global CR-specific expression profiles at young and older timepoints are highly divergent. At a previously unachieved resolution, our results demonstrate conserved activation of neuroprotective gene signatures and broad CR-suppression of age-dependent hippocampal CA1 region expression changes, indicating that CR functionally maintains a more youthful transcriptional state within hippocampal CA1 throughout aging.",Hippocampal CA1 region mRNA profiles of younger- (5 months) and older-adult (15 months) mice on calorie-restricted (CR) and normal (AD) diets were generated by deep sequencing using Illumina HiSeq 2500.,GPL17021,22,Expression profiling by high throughput sequencing,NA
Alzheimers Disease,GSE70475,TREM2 regulates microglial cell activation in response to demyelination in vivo,"Microglia are phagocytic cells that survey the brain and perform neuroprotective functions in response to tissue damage, but their activating receptors are largely unknown. Triggering receptor expressed on myeloid cells 2 (TREM2) is a microglial immunoreceptor whose loss-of-function mutations in humans cause presenile dementia, while genetic variants are associated with increased risk of neurodegenerative diseases. In myeloid cells, TREM2 has been involved in the regulation of phagocytosis, cell proliferation and inflammatory responses in vitro. However, it is unknown how TREM2 contributes to microglia function in vivo. Here, we identify a critical role for TREM2 in the activation and function of microglia during cuprizone (CPZ)-induced demyelination. TREM2-deficient (TREM2(-/-)) mice had defective clearance of myelin debris and more axonal pathology, resulting in impaired clinical performances compared to wild-type (WT) mice. TREM2(-/-) microglia proliferated less in areas of demyelination and were less activated, displaying a more resting morphology and decreased expression of the activation markers MHC II and inducible nitric oxide synthase as compared to WT. Mechanistically, gene expression and ultrastructural analysis of microglia suggested a defect in myelin degradation and phagosome processing during CPZ intoxication in TREM2(-/-) microglia. These findings place TREM2 as a key regulator of microglia activation in vivo in response to tissue damage.","Two STAGE (6weeks 12 weeks),",GPL10740,18,Expression profiling by array,25631124
Alzheimers Disease,GSE64855,Peturbation of PICALM Levels Alters Cellular Cholesterol Metabolism,"PICALM (Phosphatidyl Inositol Clathrin Assembly Lymphoid Myeloid protein) is a ubiquitously expressed protein that plays a role in clathrin-mediated endocytosis. PICALM also affects the internalization of SNAREs and modulates macroautophagy. Chromosomal translocations that result in the fusion of PICALM to heterologous proteins cause leukemias, and genome-wide association studies have linked Single Nucleotide Polymorphisms (SNPs) of PICALM to Alzheimer’s disease.;To obtain insight into the biological role of PICALM, we performed gene expression studies of PICALM-deficient and PICALM-expressing cells. Pathway analysis demonstrated that PICALM expression influences the expression of genes that encode proteins involved in cholesterol biosynthesis and lipoprotein uptake. GC-MS studies indicated that loss of PICALM increases total cholesterol pool size. Isotopic labeling studies revealed that loss of PICALM alters cholesterol homeostasis via increased scavenging of cholesterol. Measurement of LDL receptor endocytosis further showed that PICALM deficient cells express higher LDLR levels resulting in higher lipoprotein internalization. These findings suggest that PICALM is required for cellular cholesterol homeostasis and point to a novel mechanism by which PICALM alterations may contribute to disease.","Total RNA was isolated (Qiagen RNeasy® Micro kit, Valencia, CA) from four replicates of PICALM knockout cells transfected with control vector, and from four replicates of PICALM knockout cells transfected with PICALM.",GPL8321,8,Expression profiling by array,26075887
Alzheimers Disease,GSE66333,Neuronal DNA damage response-associated dysregulation of signalling pathways and cholesterol metabolism at th earliest stages of Alzheimer-type pathology,"High levels of oxidative stress and an associated neuronal DDR occur at the earliest stages of Alzheimer pathology (low Braak stage), and is associated with cognitive impairment.;The aim of the present study was to combine immuno-LCM and microarray analysis to characterize the neuronal transcriptome at low Braak stages (Braak 0-II), with respect to the neuronal DDR,  in post-mortem human frontal cortex  derived from the Medical Research Council Cognitive Function and Ageing Study (MRC-CFAS).","Pyramidal neurones were isolated from age, sex and brain pH-matched cases derived from the MRC-CFAS cohort, using immuno laser capture microdissection.  The extracted RNA was amplified and applied to HGU133 Plus 2.0 Affymetrix gene arrays.  Genes were considered differentially expressed at p<0.001 in all 4 individual cases in each DDR group [8 cases in total: 4 cases high neuronal DDR & 4 cases low neuronal DDR].",GPL570,8,Expression profiling by array,NA
Alzheimers Disease,GSE68987,RNA sequencing analysis of miR-603 overexpression,"Alzheimer’s disease (AD) is a serious neurodegenerative disease in which miRNAs have been linked to its pathogenesis.;miR-603 is a primate-specific miRNA. Through ADNI data analysis, we found a SNP rs11014002 in pre-miR-603 which promotes the biogenesis of mature miR-603 is associated with AD risk.;We further identified that LRPAP1, a protein which antagonizes the function of LRP1 in Aß clearance and AD susceptibility, is a target gene of miR-603.;Moreover, overexpression of miR-603 increased the protein level of LRP1, suggesting the protective role of miR-603 in AD.;Both significant increase and loss of regulatory function of miR-603 hint the existence of a compensatory mechanism in hippocampus of AD subjects. Furthermore, we found that miR-603 could directly downregulate E2F1 and prevent cells from H2O2 induced-apoptosis.;This work provides the first evidence that miR-603 may modulate AD susceptibility and the SNP rs11014002 (T-carrier genotype) might be a protective factor for AD.",There are two groups: Negative Control and miR-603 overexpression. We performed experiments on HEK293 cell and Hela cell.,GPL17303,4,Expression profiling by high throughput sequencing,NA
Alzheimers Disease,GSE42492,Induced pluripotent stem cell-derived neurons from a sporadic Alzheimer disease donor as a model for investigating disease mechanisms,"Gene expression analysis of control fibroblasts (NFH2), one AD-derived fibroblasts (NFH-46), NFH2-derived control-iPS cells (OiPS3, OiPS6), NFH46-derived AD-iPS cells (iPS5 and iPS 26B),  hESCs (H1 and H9).","Total mRNA obtained from AD fibroblasts (NFH-46) and control fibroblasts (NFH-2), from pluripotent stem cells AD-iPS cells (iPS5 and iPS 26B), control-iPS cells (OiPS3, OiPS6), and hESCs (H1 and H9).",GPL6883,13,Expression profiling by array,25765079
Alzheimers Disease,GSE67333,Transcriptomics profiling of Alzheimer’s disease reveal novel molecular targets,Our data provide a comprehensive list of transcriptomics alterations and warrant holistic approach including both coding and non-coding RNAs in functional studies aimed to understand the pathophysiology of LOAD,We performed directional RNA sequencing on high quality RNA samples extracted from hippocampi of 4 late onset Alzheimer's diseas (LOAD) and 4 age-matched controls.,GPL11154,8,Expression profiling by high throughput sequencing,NA
Alzheimers Disease,GSE67419,Epigenome Analysis of Post-Mortem Human Temporal Pole Brain Tissue,"Epigenome Analysis of Post-Mortem Human Temporal Pole Brain Tissue;For more information, please refer to DOI: 10.3233/JAD-141989","Temporal Pole regions from 24 age-matched causcasian males: 8 samples which died of normal causes, 8 samples with Alzheimer's disease (stage 3/4) and 8 samples with dementia with lewy bodies",GPL13534,24,Methylation profiling by genome tiling array,NA
Alzheimers Disease,GSE65067,Expression data from WT and TREM2 deficient microglia in a mouse model of Alzheimer's disease,We examined the role of TREM2 on microglia responses to amyloid-beta deposition in a mouse model of Alzheimer's disease,"Microglia were FACS-purified from 8.5 month old WT, Trem2-/-, 5XFAD, and Trem2-/- 5XFAD mice",GPL6246,20,Expression profiling by array,25728668
